name,author,rating,quantity
Little Blue Truck,Alice Schertle,4.9,10
Little Fires Everywhere,Celeste Ng,4.5,10
Looking for Alaska,John Green,4.5,10
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,10
Love You Forever,Robert Munsch,4.8,10
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,10
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,10
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,10
Milk and Honey,Rupi Kaur,4.7,10
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,10
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,10
Mockingjay (The Hunger Games),Suzanne Collins,4.5,10
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,10
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,10
New Moon (The Twilight Saga),Stephenie Meyer,4.6,10
Night (Night),Elie Wiesel,4.7,10
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,10
Obama: An Intimate Portrait,Pete Souza,4.9,10
"Oh, the Places You'll Go!",Dr. Seuss,4.9,10
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,10
Olive Kitteridge,Elizabeth Strout,4.2,10
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,10
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,10
Origin: A Novel (Robert Langdon),Dan Brown,4.3,10
Orphan Train,Christina Baker Kline,4.6,10
Outliers: The Story of Success,Malcolm Gladwell,4.6,10
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,10
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,10
PokÃ©mon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 PokÃ©mon,Scholastic,4.7,10
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,10
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,10
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,10
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,10
Ready Player One: A Novel,Ernest Cline,4.6,10
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,10
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,10
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,10
Sarah's Key,Tatiana de Rosnay,4.6,10
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Readingâ€¦",School Zone,4.8,10
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,4.7,10
Sh*t My Dad Says,Justin Halpern,4.7,10
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,4.8,10
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,10
Sookie Stackhouse,Charlaine Harris,4.7,10
